,location,target,type,quantile,value
0,US,0 day ahead inc death,point,,775
1,US,1 day ahead inc death,point,,757
2,US,2 day ahead inc death,point,,749
3,US,3 day ahead inc death,point,,737
4,US,4 day ahead inc death,point,,726
5,US,5 day ahead inc death,point,,715
6,US,6 day ahead inc death,point,,703
7,US,7 day ahead inc death,point,,691
8,US,8 day ahead inc death,point,,679
9,US,9 day ahead inc death,point,,667
10,US,10 day ahead inc death,point,,654
11,US,11 day ahead inc death,point,,642
12,US,12 day ahead inc death,point,,629
13,US,13 day ahead inc death,point,,616
14,US,14 day ahead inc death,point,,604
15,US,15 day ahead inc death,point,,591
16,US,16 day ahead inc death,point,,578
17,US,17 day ahead inc death,point,,566
18,US,18 day ahead inc death,point,,553
19,US,19 day ahead inc death,point,,547
20,US,20 day ahead inc death,point,,538
21,US,21 day ahead inc death,point,,530
22,US,22 day ahead inc death,point,,522
23,US,23 day ahead inc death,point,,513
24,US,24 day ahead inc death,point,,505
25,US,25 day ahead inc death,point,,496
26,US,26 day ahead inc death,point,,488
27,US,27 day ahead inc death,point,,479
28,US,28 day ahead inc death,point,,471
29,US,29 day ahead inc death,point,,462
30,US,30 day ahead inc death,point,,453
31,US,31 day ahead inc death,point,,445
32,US,32 day ahead inc death,point,,436
33,US,33 day ahead inc death,point,,428
34,US,34 day ahead inc death,point,,419
35,US,35 day ahead inc death,point,,410
36,US,36 day ahead inc death,point,,402
37,US,37 day ahead inc death,point,,393
38,US,38 day ahead inc death,point,,385
39,US,39 day ahead inc death,point,,377
40,US,40 day ahead inc death,point,,373
41,US,41 day ahead inc death,point,,367
42,US,42 day ahead inc death,point,,362
43,US,43 day ahead inc death,point,,357
44,US,44 day ahead inc death,point,,351
45,US,45 day ahead inc death,point,,346
46,US,46 day ahead inc death,point,,341
47,US,47 day ahead inc death,point,,336
48,US,48 day ahead inc death,point,,330
49,US,49 day ahead inc death,point,,325
50,US,50 day ahead inc death,point,,320
51,US,51 day ahead inc death,point,,314
52,US,52 day ahead inc death,point,,309
53,US,53 day ahead inc death,point,,304
54,US,54 day ahead inc death,point,,302
55,US,55 day ahead inc death,point,,299
56,US,56 day ahead inc death,point,,296
57,US,57 day ahead inc death,point,,293
58,US,58 day ahead inc death,point,,290
59,US,59 day ahead inc death,point,,287
60,US,60 day ahead inc death,point,,284
61,US,61 day ahead inc death,point,,281
62,US,62 day ahead inc death,point,,278
63,US,63 day ahead inc death,point,,275
64,US,64 day ahead inc death,point,,272
65,US,65 day ahead inc death,point,,269
66,US,66 day ahead inc death,point,,265
67,US,67 day ahead inc death,point,,262
68,US,68 day ahead inc death,point,,262
69,US,69 day ahead inc death,point,,261
70,US,70 day ahead inc death,point,,260
71,US,71 day ahead inc death,point,,258
72,US,72 day ahead inc death,point,,257
73,US,73 day ahead inc death,point,,256
74,US,74 day ahead inc death,point,,255
75,US,75 day ahead inc death,point,,253
76,US,76 day ahead inc death,point,,252
77,US,77 day ahead inc death,point,,250
78,US,78 day ahead inc death,point,,249
79,US,79 day ahead inc death,point,,247
80,US,80 day ahead inc death,point,,246
81,US,81 day ahead inc death,point,,244
82,US,82 day ahead inc death,point,,245
83,US,83 day ahead inc death,point,,245
84,US,84 day ahead inc death,point,,245
85,US,85 day ahead inc death,point,,259
86,US,86 day ahead inc death,point,,269
87,US,87 day ahead inc death,point,,280
88,US,88 day ahead inc death,point,,292
89,US,89 day ahead inc death,point,,304
90,US,90 day ahead inc death,point,,316
91,US,91 day ahead inc death,point,,329
92,US,92 day ahead inc death,point,,342
93,US,93 day ahead inc death,point,,356
94,US,94 day ahead inc death,point,,370
95,US,95 day ahead inc death,point,,384
96,US,96 day ahead inc death,point,,403
97,US,97 day ahead inc death,point,,422
98,US,98 day ahead inc death,point,,441
99,US,99 day ahead inc death,point,,462
100,US,100 day ahead inc death,point,,483
101,US,101 day ahead inc death,point,,504
102,US,102 day ahead inc death,point,,527
103,US,103 day ahead inc death,point,,550
104,US,104 day ahead inc death,point,,574
105,US,105 day ahead inc death,point,,599
106,US,106 day ahead inc death,point,,624
107,US,107 day ahead inc death,point,,651
108,US,108 day ahead inc death,point,,678
109,US,109 day ahead inc death,point,,705
110,US,110 day ahead inc death,point,,734
111,US,111 day ahead inc death,point,,763
112,US,112 day ahead inc death,point,,793
113,US,113 day ahead inc death,point,,823
114,US,114 day ahead inc death,point,,854
115,US,115 day ahead inc death,point,,885
116,US,116 day ahead inc death,point,,917
117,US,117 day ahead inc death,point,,949
118,US,118 day ahead inc death,point,,982
119,US,119 day ahead inc death,point,,1015
120,US,120 day ahead inc death,point,,1048
121,US,121 day ahead inc death,point,,1081
122,US,122 day ahead inc death,point,,1114
123,US,123 day ahead inc death,point,,1147
124,US,124 day ahead inc death,point,,1168
125,US,125 day ahead inc death,point,,1192
126,US,126 day ahead inc death,point,,1214
127,US,127 day ahead inc death,point,,1235
128,US,128 day ahead inc death,point,,1256
129,US,129 day ahead inc death,point,,1275
130,US,130 day ahead inc death,point,,1293
131,US,1 wk ahead inc death,point,,5162
132,US,2 wk ahead inc death,point,,4577
133,US,3 wk ahead inc death,point,,3977
134,US,4 wk ahead inc death,point,,3534
135,US,5 wk ahead inc death,point,,3114
136,US,6 wk ahead inc death,point,,2707
137,US,7 wk ahead inc death,point,,2423
138,US,8 wk ahead inc death,point,,2172
139,US,9 wk ahead inc death,point,,2009
140,US,10 wk ahead inc death,point,,1866
141,US,11 wk ahead inc death,point,,1790
142,US,12 wk ahead inc death,point,,1726
143,US,13 wk ahead inc death,point,,1965
144,US,14 wk ahead inc death,point,,2605
145,US,15 wk ahead inc death,point,,3541
