,location,target,type,quantile,value
0,US,0 day ahead inc death,point,,963
1,US,1 day ahead inc death,point,,953
2,US,2 day ahead inc death,point,,943
3,US,3 day ahead inc death,point,,932
4,US,4 day ahead inc death,point,,920
5,US,5 day ahead inc death,point,,908
6,US,6 day ahead inc death,point,,896
7,US,7 day ahead inc death,point,,883
8,US,8 day ahead inc death,point,,879
9,US,9 day ahead inc death,point,,872
10,US,10 day ahead inc death,point,,865
11,US,11 day ahead inc death,point,,857
12,US,12 day ahead inc death,point,,849
13,US,13 day ahead inc death,point,,841
14,US,14 day ahead inc death,point,,832
15,US,15 day ahead inc death,point,,822
16,US,16 day ahead inc death,point,,812
17,US,17 day ahead inc death,point,,802
18,US,18 day ahead inc death,point,,791
19,US,19 day ahead inc death,point,,780
20,US,20 day ahead inc death,point,,769
21,US,21 day ahead inc death,point,,757
22,US,22 day ahead inc death,point,,745
23,US,23 day ahead inc death,point,,733
24,US,24 day ahead inc death,point,,721
25,US,25 day ahead inc death,point,,716
26,US,26 day ahead inc death,point,,708
27,US,27 day ahead inc death,point,,701
28,US,28 day ahead inc death,point,,694
29,US,29 day ahead inc death,point,,686
30,US,30 day ahead inc death,point,,678
31,US,31 day ahead inc death,point,,669
32,US,32 day ahead inc death,point,,661
33,US,33 day ahead inc death,point,,652
34,US,34 day ahead inc death,point,,643
35,US,35 day ahead inc death,point,,633
36,US,36 day ahead inc death,point,,624
37,US,37 day ahead inc death,point,,614
38,US,38 day ahead inc death,point,,604
39,US,39 day ahead inc death,point,,594
40,US,40 day ahead inc death,point,,584
41,US,41 day ahead inc death,point,,574
42,US,42 day ahead inc death,point,,564
43,US,43 day ahead inc death,point,,553
44,US,44 day ahead inc death,point,,543
45,US,45 day ahead inc death,point,,532
46,US,46 day ahead inc death,point,,528
47,US,47 day ahead inc death,point,,521
48,US,48 day ahead inc death,point,,515
49,US,49 day ahead inc death,point,,508
50,US,50 day ahead inc death,point,,502
51,US,51 day ahead inc death,point,,495
52,US,52 day ahead inc death,point,,488
53,US,53 day ahead inc death,point,,481
54,US,54 day ahead inc death,point,,474
55,US,55 day ahead inc death,point,,467
56,US,56 day ahead inc death,point,,460
57,US,57 day ahead inc death,point,,453
58,US,58 day ahead inc death,point,,445
59,US,59 day ahead inc death,point,,438
60,US,60 day ahead inc death,point,,436
61,US,61 day ahead inc death,point,,431
62,US,62 day ahead inc death,point,,427
63,US,63 day ahead inc death,point,,423
64,US,64 day ahead inc death,point,,419
65,US,65 day ahead inc death,point,,415
66,US,66 day ahead inc death,point,,410
67,US,67 day ahead inc death,point,,406
68,US,68 day ahead inc death,point,,401
69,US,69 day ahead inc death,point,,397
70,US,70 day ahead inc death,point,,392
71,US,71 day ahead inc death,point,,387
72,US,72 day ahead inc death,point,,382
73,US,73 day ahead inc death,point,,377
74,US,74 day ahead inc death,point,,376
75,US,75 day ahead inc death,point,,374
76,US,76 day ahead inc death,point,,372
77,US,77 day ahead inc death,point,,370
78,US,78 day ahead inc death,point,,367
79,US,79 day ahead inc death,point,,365
80,US,80 day ahead inc death,point,,362
81,US,81 day ahead inc death,point,,360
