,location,target,type,quantile,value
0,US,1 day ahead inc death,point,,4482
1,US,2 day ahead inc death,point,,5130
2,US,3 day ahead inc death,point,,5872
3,US,4 day ahead inc death,point,,6721
4,US,5 day ahead inc death,point,,7693
5,US,6 day ahead inc death,point,,8806
6,US,7 day ahead inc death,point,,10080
7,US,8 day ahead inc death,point,,11538
8,US,1 day ahead cum death,point,,35467
9,US,2 day ahead cum death,point,,40597
10,US,3 day ahead cum death,point,,46469
11,US,4 day ahead cum death,point,,53190
12,US,5 day ahead cum death,point,,60883
13,US,6 day ahead cum death,point,,69690
14,US,7 day ahead cum death,point,,79770
15,US,8 day ahead cum death,point,,91307
