,location,target,type,quantile,value
0,1,1 day ahead cum death,point,,230
1,1,1 day ahead cum death,quantile,0.025,222
2,1,1 day ahead cum death,quantile,0.975,240
3,4,1 day ahead cum death,point,,303
4,4,1 day ahead cum death,quantile,0.025,289
5,4,1 day ahead cum death,quantile,0.975,318
6,5,1 day ahead cum death,point,,57
7,5,1 day ahead cum death,quantile,0.025,51
8,5,1 day ahead cum death,quantile,0.975,65
9,6,1 day ahead cum death,point,,1873
10,6,1 day ahead cum death,quantile,0.025,1838
11,6,1 day ahead cum death,quantile,0.975,1918
12,8,1 day ahead cum death,point,,726
13,8,1 day ahead cum death,quantile,0.025,704
14,8,1 day ahead cum death,quantile,0.975,751
15,9,1 day ahead cum death,point,,2010
16,9,1 day ahead cum death,quantile,0.025,1981
17,9,1 day ahead cum death,quantile,0.975,2035
18,10,1 day ahead cum death,point,,138
19,10,1 day ahead cum death,quantile,0.025,124
20,10,1 day ahead cum death,quantile,0.975,152
21,11,1 day ahead cum death,point,,195
22,11,1 day ahead cum death,quantile,0.025,184
23,11,1 day ahead cum death,quantile,0.975,208
24,12,1 day ahead cum death,point,,1171
25,12,1 day ahead cum death,quantile,0.025,1139
26,12,1 day ahead cum death,quantile,0.975,1208
27,13,1 day ahead cum death,point,,959
28,13,1 day ahead cum death,quantile,0.025,939
29,13,1 day ahead cum death,quantile,0.975,982
30,16,1 day ahead cum death,point,,62
31,16,1 day ahead cum death,quantile,0.025,57
32,16,1 day ahead cum death,quantile,0.975,72
33,17,1 day ahead cum death,point,,2083
34,17,1 day ahead cum death,quantile,0.025,2040
35,17,1 day ahead cum death,quantile,0.975,2120
36,18,1 day ahead cum death,point,,855
37,18,1 day ahead cum death,quantile,0.025,837
38,18,1 day ahead cum death,quantile,0.975,877
39,19,1 day ahead cum death,point,,135
40,19,1 day ahead cum death,quantile,0.025,123
41,19,1 day ahead cum death,quantile,0.975,151
42,20,1 day ahead cum death,point,,127
43,20,1 day ahead cum death,quantile,0.025,120
44,20,1 day ahead cum death,quantile,0.975,136
45,21,1 day ahead cum death,point,,221
46,21,1 day ahead cum death,quantile,0.025,212
47,21,1 day ahead cum death,quantile,0.975,233
48,22,1 day ahead cum death,point,,1801
49,22,1 day ahead cum death,quantile,0.025,1770
50,22,1 day ahead cum death,quantile,0.975,1842
51,23,1 day ahead cum death,point,,53
52,23,1 day ahead cum death,quantile,0.025,50
53,23,1 day ahead cum death,quantile,0.975,60
54,24,1 day ahead cum death,point,,894
55,24,1 day ahead cum death,quantile,0.025,866
56,24,1 day ahead cum death,quantile,0.975,923
57,25,1 day ahead cum death,point,,3096
58,25,1 day ahead cum death,quantile,0.025,3047
59,25,1 day ahead cum death,quantile,0.975,3143
60,26,1 day ahead cum death,point,,3454
61,26,1 day ahead cum death,quantile,0.025,3420
62,26,1 day ahead cum death,quantile,0.975,3498
63,27,1 day ahead cum death,point,,284
